ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2005-Feb,10,Ajay Singh,1154,1.30%,Lok Jan Shakti Party,Dhamdaha,61,1.30
2005-Feb,11,Sanjeev Kumar,902,1.00%,Independent,Dhamdaha,61,1.00
2005-Feb,12,Mira Devi,888,1.00%,Rashtriya Lok Dal,Dhamdaha,61,1.00
2005-Feb,13,Rambha Sinha,825,0.90%,Independent,Dhamdaha,61,0.90
2005-Feb,14,Chandan Kumar Singh,502,0.60%,Shiv Sena,Dhamdaha,61,0.60
2005-Feb,1,Arjun Ray,52327,61.50%,Janata Dal (United),Purnia,62,61.50
2005-Feb,2,Ganesh Prasad Yadav,21140,24.80%,Rashtriya Janata Dal,Purnia,62,24.80
2005-Feb,3,Prem Chandra Mishra,3161,3.70%,Indian National Congress,Purnia,62,3.70
2005-Feb,4,Ram Dayal Baitha,2246,2.60%,Independent,Purnia,62,2.60
2005-Feb,5,Mukesh Prasad,1570,1.80%,Independent,Purnia,62,1.80
2005-Feb,6,Ashok Kumar Jha,1546,1.80%,Bahujan Samaj Party,Purnia,62,1.80
2005-Feb,7,Bhushan Kumar Jha,907,1.10%,Independent,Purnia,62,1.10
2005-Feb,8,Mahendra Paswan,718,0.80%,Independent,Purnia,62,0.80
2005-Feb,9,Harishchandra Prasad Yadav,640,0.80%,Samajwadi Party,Purnia,62,0.80
2005-Feb,10,Pankaj Bandhu,426,0.50%,Independent,Purnia,62,0.50
2005-Feb,11,Nageendra Sahani,418,0.50%,Independent,Purnia,62,0.50
2005-Feb,1,Hind Keshari Yadav,32849,33.80%,Rashtriya Janata Dal,Katihar,63,33.80
2005-Feb,2,Dinesh Prasad,30992,31.90%,Janata Dal (United),Katihar,63,31.90
2005-Feb,3,Vinod Kumar Kushwaha,10106,10.40%,Lok Jan Shakti Party,Katihar,63,10.40
2005-Feb,4,Prakash Singh,5237,5.40%,Independent,Katihar,63,5.40
2005-Feb,5,Bhonu Ram,2003,2.10%,Independent,Katihar,63,2.10
2005-Feb,6,Dwarika Nath Prasad,1863,1.90%,Bajjikanchal Vikas Party,Katihar,63,1.90
2005-Feb,7,Gulam Rasul,1630,1.70%,Bahujan Samaj Party,Katihar,63,1.70
2005-Feb,8,Ganga Prasad Singh,1479,1.50%,Independent,Katihar,63,1.50
2005-Feb,9,Bindeshwar Sah,1282,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Katihar,63,1.30
2005-Feb,10,Raghunath Prasad,1249,1.30%,Samata Party,Katihar,63,1.30
2005-Feb,11,Dinesh Ray,1025,1.10%,Independent,Katihar,63,1.10
2005-Feb,12,Bhikhari Ram,975,1.00%,Independent,Katihar,63,1.00
2005-Feb,13,Lalan Baitha,974,1.00%,Independent,Katihar,63,1.00
2005-Feb,14,Lalli Devi,863,0.90%,Samajwadi Party,Katihar,63,0.90
2005-Feb,15,Uma Shankar Ram,726,0.80%,Independent,Katihar,63,0.80
2005-Feb,16,Hira Lal Ram,647,0.70%,Independent,Katihar,63,0.70
2005-Feb,17,Kuldip Ram,626,0.60%,Independent,Katihar,63,0.60
2005-Feb,18,Ram Pukar Baitha,578,0.60%,Independent,Katihar,63,0.60
2005-Feb,19,Jagat Narayan Ram,509,0.50%,Independent,Katihar,63,0.50
2005-Feb,20,Ramanand Singh,508,0.50%,Independent,Katihar,63,0.50
2005-Feb,21,Hira Ram,387,0.40%,Independent,Katihar,63,0.40
2005-Feb,22,Shankar Paswan,336,0.40%,Independent,Katihar,63,0.40
2005-Feb,23,Suresh Ram,283,0.30%,Independent,Katihar,63,0.30
2005-Feb,1,Bhola Rai,29924,30.00%,Rashtriya Janata Dal,Kadwa,64,30.00
2005-Feb,2,Azam Hussain Anwar,26148,26.30%,Lok Jan Shakti Party,Kadwa,64,26.30
2005-Feb,3,Rajesh Kumar Chaudhary,23230,23.30%,Samajwadi Party,Kadwa,64,23.30
2005-Feb,4,Nawal Kishore,10874,10.90%,Janata Dal (United),Kadwa,64,10.90
2005-Feb,5,Rajendra Prasad Sah,2695,2.70%,Samata Party,Kadwa,64,2.70
2005-Feb,6,Surendra Baitha,2003,2.00%,Bahujan Samaj Party,Kadwa,64,2.00
2005-Feb,7,Vijay Kumar Yadav,1820,1.80%,Independent,Kadwa,64,1.80
2005-Feb,8,Ashok Sah,1060,1.10%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Kadwa,64,1.10
2005-Feb,9,Ram Krishna Kumar,996,1.00%,Independent,Kadwa,64,1.00
2005-Feb,10,Ahmad Reza Ale,851,0.90%,Independent,Kadwa,64,0.90
2005-Feb,1,Sunita Singh,28958,33.40%,Lok Jan Shakti Party,Balrampur,65,33.40
2005-Feb,2,Ram Swarth Roy,21753,25.10%,Rashtriya Janata Dal,Balrampur,65,25.10
2005-Feb,3,Brijnandan Prasad,12437,14.30%,Bahujan Samaj Party,Balrampur,65,14.30
2005-Feb,4,Digvijay Pratap Singh,9506,11.00%,Janata Dal (United),Balrampur,65,11.00
2005-Feb,5,Ram Shila Devi,3377,3.90%,Independent,Balrampur,65,3.90
2005-Feb,6,Md. Saukat Ali,3016,3.50%,Independent,Balrampur,65,3.50
2005-Feb,7,Munna Kumar Rai,1683,1.90%,Independent,Balrampur,65,1.90
2005-Feb,8,Lal Babu Sah,1382,1.60%,Independent,Balrampur,65,1.60
2005-Feb,9,Nagendra Kumar,1319,1.50%,Samajwadi Party,Balrampur,65,1.50
2005-Feb,10,Jay Prakash Jha,1220,1.40%,Independent,Balrampur,65,1.40
2005-Feb,11,Lal Babu Yadav,1083,1.30%,Krantikari Samyavadi Party,Balrampur,65,1.30
2005-Feb,12,Ram Sogarath Ray,1005,1.20%,Independent,Balrampur,65,1.20
2005-Feb,1,Ajit Kumar Jha,26409,26.70%,Rashtriya Janata Dal,Pranpur,66,26.70
2005-Feb,2,Thakur Ratnakar,20858,21.10%,Janata Dal (United),Pranpur,66,21.10
2005-Feb,3,Sarfuddin,17678,17.90%,Lok Jan Shakti Party,Pranpur,66,17.90
2005-Feb,4,Sanjay Kumar Gupta,15709,15.90%,Independent,Pranpur,66,15.90
2005-Feb,5,Ram Babu Singh,3645,3.70%,Independent,Pranpur,66,3.70
2005-Feb,6,Jai Mangal Chaudhary,2974,3.00%,Bahujan Samaj Party,Pranpur,66,3.00
2005-Feb,7,M. Husnain,2574,2.60%,Independent,Pranpur,66,2.60
2005-Feb,8,Sanjay Kumar Verma,2259,2.30%,Independent,Pranpur,66,2.30
2005-Feb,9,Amrendra Kumar Singh,1142,1.20%,Independent,Pranpur,66,1.20
2005-Feb,10,Vinod Kumar,1117,1.10%,Independent,Pranpur,66,1.10
2005-Feb,11,Shambhu Prasad Yadav,1021,1.00%,Independent,Pranpur,66,1.00
2005-Feb,12,Abdus Salam,915,0.90%,Independent,Pranpur,66,0.90
2005-Feb,13,Manish Kumar Gupta,850,0.90%,Samajwadi Party,Pranpur,66,0.90
2005-Feb,14,Kishori Paswan,611,0.60%,Independent,Pranpur,66,0.60
2005-Feb,15,Ravi Shankar Singh,502,0.50%,Independent,Pranpur,66,0.50
2005-Feb,16,Nabal Kishor Prasad Yadav,498,0.50%,Independent,Pranpur,66,0.50
2005-Feb,1,Sunil Kumar Alias Pintu,51447,47.50%,Bharatiya Janta Party,Manihari (ST),67,47.50
2005-Feb,2,Mohammad Tahir,27683,25.60%,Rashtriya Janata Dal,Manihari (ST),67,25.60
2005-Feb,3,Mohammad Parvez Alam Ansari,12233,11.30%,Lok Jan Shakti Party,Manihari (ST),67,11.30
2005-Feb,4,Mahesh Bhagat,6597,6.10%,Bahujan Samaj Party,Manihari (ST),67,6.10
2005-Feb,5,Arun Kumar Yadav,2152,2.00%,Independent,Manihari (ST),67,2.00
2005-Feb,6,Shyam Sunder Yadav,1457,1.30%,Independent,Manihari (ST),67,1.30
2005-Feb,7,Om Prakash,1273,1.20%,Samajwadi Jan Parishad,Manihari (ST),67,1.20
2005-Feb,8,Ratneshwar Mishra,884,0.80%,Independent,Manihari (ST),67,0.80
2005-Feb,9,Babloo Singh,762,0.70%,Rashtriya Lok Seva Morcha,Manihari (ST),67,0.70
2005-Feb,10,Shanker Bhushan,758,0.70%,Independent,Manihari (ST),67,0.70
2005-Feb,11,Ram Krishna Singh Kushwaha,734,0.70%,Independent,Manihari (ST),67,0.70
2005-Feb,12,Nawal Kishore Shahi,584,0.50%,Samata Party,Manihari (ST),67,0.50
2005-Feb,13,Rasool Ansari,532,0.50%,Independent,Manihari (ST),67,0.50
2005-Feb,14,Masoom Kamal,497,0.50%,Independent,Manihari (ST),67,0.50
2005-Feb,15,Ram Ishwar Prasad Yadav,442,0.40%,Independent,Manihari (ST),67,0.40
2005-Feb,16,Ganesh Prasad,304,0.30%,Independent,Manihari (ST),67,0.30
2005-Feb,1,Nagina Devi,30797,29.80%,Lok Jan Shakti Party,Barari,68,29.80
2005-Feb,2,Suryadeo Rai,26378,25.60%,Rashtriya Janata Dal,Barari,68,25.60
2005-Feb,3,Ram Bahadur Singh,22969,22.20%,Janata Dal (United),Barari,68,22.20
2005-Feb,4,Ramprawesh Yadav,8167,7.90%,Samajwadi Party,Barari,68,7.90
2005-Feb,5,Umesh Kumar Ranjan Mahto,3739,3.60%,Bahujan Samaj Party,Barari,68,3.60
2005-Feb,6,Satan Paswan,2512,2.40%,Independent,Barari,68,2.40
2005-Feb,7,Ram Pukar Paswan,2273,2.20%,Independent,Barari,68,2.20
2005-Feb,8,Rambabu Rai,2030,2.00%,Rashtriya Lok Seva Morcha,Barari,68,2.00
2005-Feb,9,Shiv Shankar Mandal,1629,1.60%,Samata Party,Barari,68,1.60
2005-Feb,10,Chandrika Prasad,1462,1.40%,Independent,Barari,68,1.40
2005-Feb,11,Bhagrith Baitha,1303,1.30%,Independent,Barari,68,1.30
2005-Feb,1,Dinkar Ram,29161,36.60%,Bharatiya Janta Party,Korha (SC),69,36.60
2005-Feb,2,Lalita Devi,22117,27.80%,Rashtriya Janata Dal,Korha (SC),69,27.80
2005-Feb,3,Sanjiv Prasad Toni,18645,23.40%,Indian National Congress,Korha (SC),69,23.40
2005-Feb,4,Chandeshwar Ram,2697,3.40%,Bahujan Samaj Party,Korha (SC),69,3.40
2005-Feb,5,Virendra Ram,1924,2.40%,Independent,Korha (SC),69,2.40
2005-Feb,6,Anil Kumar Choudhary,1537,1.90%,Samata Party,Korha (SC),69,1.90
2005-Feb,7,Ram Babu Baitha,1488,1.90%,Independent,Korha (SC),69,1.90
2005-Feb,8,Satyendra Ram Satyarthi,1276,1.60%,Samajwadi Party,Korha (SC),69,1.60
2005-Feb,9,Kapil Deo Paswan,811,1.00%,Independent,Korha (SC),69,1.00
2005-Feb,1,Dr. Ram Chandra Purbey,37774,39.00%,Rashtriya Janata Dal,Alamnagar,70,39.00
2005-Feb,2,Md. Anwarul Haque,29189,30.10%,Lok Jan Shakti Party,Alamnagar,70,30.10
2005-Feb,3,Mahendra Singh Yadav,16085,16.60%,Bharatiya Janta Party,Alamnagar,70,16.60
2005-Feb,4,Ajay Kumar Purbey,3093,3.20%,Bahujan Samaj Party,Alamnagar,70,3.20
2005-Feb,5,Taslim Shah,2330,2.40%,Independent,Alamnagar,70,2.40
2005-Feb,6,Sunil Kumar,1699,1.80%,Independent,Alamnagar,70,1.80
2005-Feb,7,Lakshmi Narayan Bhagat,1692,1.80%,Independent,Alamnagar,70,1.80
2005-Feb,8,Shiv Shankar Mandal,1457,1.50%,Independent,Alamnagar,70,1.50
2005-Feb,9,Vidhan Chand Rai,1252,1.30%,Samajwadi Party,Alamnagar,70,1.30
2005-Feb,10,Md. Akbar Ali,1210,1.30%,Independent,Alamnagar,70,1.30
2005-Feb,11,Md. Abulaish Akhatar,1155,1.20%,Independent,Alamnagar,70,1.20
2005-Feb,1,Jai Nandan Prasad Yadav,26012,27.70%,Rashtriya Janata Dal,Bihariganj,71,27.70
2005-Feb,2,Baidyanath Prasad,18831,20.10%,Bharatiya Janta Party,Bihariganj,71,20.10
2005-Feb,3,Ravindra Prasad Sahi,17899,19.10%,Lok Jan Shakti Party,Bihariganj,71,19.10
2005-Feb,4,Md. Ekramul Haque,7554,8.10%,Indian National Congress,Bihariganj,71,8.10
2005-Feb,5,Nagendra Prasad Yadav,5969,6.40%,Independent,Bihariganj,71,6.40
2005-Feb,6,Arjun Mandal,5913,6.30%,Bahujan Samaj Party,Bihariganj,71,6.30
2005-Feb,7,Shyam Narayan Mandal,2262,2.40%,Independent,Bihariganj,71,2.40
2005-Feb,8,Ajay Kumar,1376,1.50%,Independent,Bihariganj,71,1.50
2005-Feb,9,Maheshwar Paswan,1256,1.30%,Independent,Bihariganj,71,1.30
2005-Feb,10,Indal Singh,1165,1.20%,Independent,Bihariganj,71,1.20
2005-Feb,11,Mohan Chowdhary,1151,1.20%,Independent,Bihariganj,71,1.20
2005-Feb,12,Vijay Kumar,809,0.90%,Independent,Bihariganj,71,0.90
2005-Feb,13,Hari Kishor Ram,800,0.90%,Independent,Bihariganj,71,0.90
2005-Feb,14,Shankar Paswan,763,0.80%,Independent,Bihariganj,71,0.80
2005-Feb,15,Manish Chandra Jha,737,0.80%,Independent,Bihariganj,71,0.80
2005-Feb,16,Krishna Dev Rai,733,0.80%,Independent,Bihariganj,71,0.80
2005-Feb,17,Gyanendra Kr. Gupta,548,0.60%,Independent,Bihariganj,71,0.60
2005-Feb,1,Shahid Ali Khan,35221,35.40%,Janata Dal (United),Singheshwar (SC),72,35.40
2005-Feb,2,Nawal Kishore Rai,31426,31.60%,Rashtriya Janata Dal,Singheshwar (SC),72,31.60
2005-Feb,3,Uma Shankar Gupta,11503,11.60%,Lok Jan Shakti Party,Singheshwar (SC),72,11.60
2005-Feb,4,Ram Pramod Sahni,8838,8.90%,Bahujan Samaj Party,Singheshwar (SC),72,8.90
2005-Feb,5,Srinath Rai,2185,2.20%,Independent,Singheshwar (SC),72,2.20
2005-Feb,6,Suresh Rai,1966,2.00%,Independent,Singheshwar (SC),72,2.00
2005-Feb,7,Manoj Kumar Chaudhary,1142,1.20%,Independent,Singheshwar (SC),72,1.20
2005-Feb,8,Pappu Kumar Mishra,1051,1.10%,Independent,Singheshwar (SC),72,1.10
2005-Feb,9,Vishwanath Mishra,1048,1.10%,Rashtriya Lok Dal,Singheshwar (SC),72,1.10
2005-Feb,10,Md. Mofeez,1011,1.00%,Independent,Singheshwar (SC),72,1.00
2005-Feb,11,Sadhu Sharan Das,833,0.80%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Singheshwar (SC),72,0.80
2005-Feb,12,Sadhani Devi,820,0.80%,Independent,Singheshwar (SC),72,0.80
2005-Feb,13,Dharma Nath Paswan,791,0.80%,Independent,Singheshwar (SC),72,0.80
2005-Feb,14,Ranju Devi,781,0.80%,Independent,Singheshwar (SC),72,0.80
2005-Feb,15,Dev Chandra Prasad,777,0.80%,Independent,Singheshwar (SC),72,0.80
2005-Feb,1,Yugeshwar Jha,31672,33.30%,Indian National Congress,Madhepura,73,33.30
2005-Feb,2,Shaligram Yadav,22529,23.70%,Independent,Madhepura,73,23.70
2005-Feb,3,Ramashish Yadav,21006,22.10%,Rashtriya Janata Dal,Madhepura,73,22.10
2005-Feb,4,Navendra Jha,9908,10.40%,Janata Dal (United),Madhepura,73,10.40
2005-Feb,5,Ramgulam Sah,2702,2.80%,Samajwadi Party,Madhepura,73,2.80
2005-Feb,6,Ram Baran Ram,2458,2.60%,Bahujan Samaj Party,Madhepura,73,2.60
2005-Feb,7,Rajender Yadav,1412,1.50%,Independent,Madhepura,73,1.50
2005-Feb,8,Anil Jha,1230,1.30%,Independent,Madhepura,73,1.30
2005-Feb,9,Rakesh Singh Alias Rikki Singh,1178,1.20%,Independent,Madhepura,73,1.20
2005-Feb,10,Manoj Kumar Jha,1063,1.10%,Independent,Madhepura,73,1.10
2005-Feb,1,Haribhushan Thakur,17942,20.70%,Independent,Sonbarsha (SC),74,20.70
2005-Feb,2,Md. Ahmar Hassan,16473,19.00%,Indian National Congress,Sonbarsha (SC),74,19.00
2005-Feb,3,Manoj Kumar Yadav,13546,15.60%,Janata Dal (United),Sonbarsha (SC),74,15.60
2005-Feb,4,Surya N. Singh Yadav,7533,8.70%,Independent,Sonbarsha (SC),74,8.70
2005-Feb,5,Kamrul Hoda,6315,7.30%,Independent,Sonbarsha (SC),74,7.30
2005-Feb,6,Abdus Salam,4179,4.80%,Independent,Sonbarsha (SC),74,4.80
2005-Feb,7,Md.Ziauddin,3231,3.70%,Nationalist Congress Party,Sonbarsha (SC),74,3.70
2005-Feb,8,Ram Chandra Yadav,3208,3.70%,Krantikari Samyavadi Party,Sonbarsha (SC),74,3.70
2005-Feb,9,Md. Shahabuddin,2540,2.90%,Independent,Sonbarsha (SC),74,2.90
2005-Feb,10,Asha Devi,2034,2.40%,Independent,Sonbarsha (SC),74,2.40
2005-Feb,11,Shiv Shankar Yadav,1619,1.90%,Independent,Sonbarsha (SC),74,1.90
2005-Feb,12,Shwetambar Yadav,1601,1.90%,Independent,Sonbarsha (SC),74,1.90
2005-Feb,13,Bindeshwar Mahto,1054,1.20%,Independent,Sonbarsha (SC),74,1.20
2005-Feb,14,Prof. Lal Babu Yadav,948,1.10%,Independent,Sonbarsha (SC),74,1.10
2005-Feb,15,Rudal Purbey,921,1.10%,Independent,Sonbarsha (SC),74,1.10
2005-Feb,16,Iftekhar Jilani,795,0.90%,Samajwadi Party,Sonbarsha (SC),74,0.90
2005-Feb,17,Rajinder Prasad Yadav,740,0.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Sonbarsha (SC),74,0.90
2005-Feb,18,Md.Amanuddin,692,0.80%,Independent,Sonbarsha (SC),74,0.80
2005-Feb,19,Md. Asraf Ali,651,0.80%,Independent,Sonbarsha (SC),74,0.80
2005-Feb,20,Shatrudhan Ram,646,0.80%,Bahujan Samaj Party,Sonbarsha (SC),74,0.80
2005-Feb,1,Ram Naresh Pandey,38825,39.20%,Communist Party Of India,Saharsa,75,39.20
2005-Feb,2,Sita Ram Yadav,31967,32.30%,Rashtriya Janata Dal,Saharsa,75,32.30
2005-Feb,3,Arun Shankar Prasad,16297,16.50%,Bharatiya Janta Party,Saharsa,75,16.50
2005-Feb,4,Girish Pandey,6450,6.50%,Lok Jan Shakti Party,Saharsa,75,6.50
2005-Feb,5,Vishwanath Yadav,2114,2.10%,Independent,Saharsa,75,2.10
2005-Feb,6,Shishir Kumari,1931,2.00%,Bahujan Samaj Party,Saharsa,75,2.00
2005-Feb,7,Kishori Paswan,1499,1.50%,Independent,Saharsa,75,1.50
2005-Feb,1,Ram Prit Paswan,35119,40.10%,Bharatiya Janta Party,Simri Bakhtiarpur,76,40.10
2005-Feb,2,Ram Lakhan Ram Raman,25706,29.30%,Rashtriya Janata Dal,Simri Bakhtiarpur,76,29.30
2005-Feb,3,Dhanbir Paswan,20385,23.30%,Lok Jan Shakti Party,Simri Bakhtiarpur,76,23.30
2005-Feb,4,Besh Lal Paswan,3225,3.70%,Indian Justice Party,Simri Bakhtiarpur,76,3.70
2005-Feb,5,Paltan Ram,3192,3.60%,Bahujan Samaj Party,Simri Bakhtiarpur,76,3.60
2005-Feb,1,Uma Kant Yadav,38568,44.20%,Rashtriya Janata Dal,Mahishi,77,44.20
2005-Feb,2,Kapil Deb Kamat,31674,36.30%,Janata Dal (United),Mahishi,77,36.30
2005-Feb,3,Mahadev Sahani,8889,10.20%,Lok Jan Shakti Party,Mahishi,77,10.20
2005-Feb,4,Hamida Khatoon,2467,2.80%,Independent,Mahishi,77,2.80
2005-Feb,5,Md. Murtuza,2259,2.60%,Bahujan Samaj Party,Mahishi,77,2.60
2005-Feb,6,Ishwar Chandra Mehta,2017,2.30%,Independent,Mahishi,77,2.30
2005-Feb,7,Surendra Prasad Suman,1488,1.70%,Independent,Mahishi,77,1.70
2005-Feb,1,Ram Deo Mahto,33007,32.90%,Bharatiya Janta Party,Kusheshwar Asthan (SC),78,32.90
2005-Feb,2,Raj Kumar Mahaseth,24324,24.20%,Independent,Kusheshwar Asthan (SC),78,24.20
2005-Feb,3,Aslam,23047,23.00%,Rashtriya Janata Dal,Kusheshwar Asthan (SC),78,23.00
2005-Feb,4,Satish Chandra Mishra,10120,10.10%,Indian National Congress,Kusheshwar Asthan (SC),78,10.10
2005-Feb,5,Sanjay Kumar Mahto,2574,2.60%,Independent,Kusheshwar Asthan (SC),78,2.60
2005-Feb,6,Kailash Kumar Sah,2338,2.30%,Samajwadi Janata Party (RASHTRIYA),Kusheshwar Asthan (SC),78,2.30
2005-Feb,7,Abas,2116,2.10%,Bahujan Samaj Party,Kusheshwar Asthan (SC),78,2.10
2005-Feb,8,Wasi Ahmad,1639,1.60%,Independent,Kusheshwar Asthan (SC),78,1.60
2005-Feb,9,Ajay Kumar Purbey,1251,1.30%,Samajwadi Party,Kusheshwar Asthan (SC),78,1.30
2005-Feb,1,Naiyar Azam,32629,39.10%,Rashtriya Janata Dal,Gaura Bauram,79,39.10
2005-Feb,2,Vinod Naryan Jha,21562,25.90%,Bharatiya Janta Party,Gaura Bauram,79,25.90
2005-Feb,3,Aghanoo Yadav,13367,16.00%,Lok Jan Shakti Party,Gaura Bauram,79,16.00
2005-Feb,4,Sayeeda Bano,6209,7.50%,Independent,Gaura Bauram,79,7.50
2005-Feb,5,Kumud Ranjan Jha,5230,6.30%,Independent,Gaura Bauram,79,6.30
2005-Feb,6,Sita Devi,3291,4.00%,Bahujan Samaj Party,Gaura Bauram,79,4.00
2005-Feb,7,Binay Kumar Jha,1072,1.30%,Independent,Gaura Bauram,79,1.30
2005-Feb,1,Nitish Mishra,38568,44.20%,Janata Dal (United),Benipur,80,44.20
2005-Feb,2,Jagdish Na. Chaudhary,22529,25.80%,Rashtriya Janata Dal,Benipur,80,25.80
2005-Feb,3,Anzar Ahmad Khan,13714,15.70%,Lok Jan Shakti Party,Benipur,80,15.70
2005-Feb,4,Arvind Kumar Lal,2737,3.10%,Samajwadi Party,Benipur,80,3.10
2005-Feb,5,Ghooran Mukhiya,2390,2.70%,Independent,Benipur,80,2.70
2005-Feb,6,Nathuni Yadav,2365,2.70%,Independent,Benipur,80,2.70
2005-Feb,7,Ram Vilas Dhangar,2081,2.40%,Bahujan Samaj Party,Benipur,80,2.40
2005-Feb,8,Atiqur Rahman,1532,1.80%,Independent,Benipur,80,1.80
2005-Feb,9,Vijay Shankar Jha,1323,1.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Benipur,80,1.50
2005-Feb,1,Deo Nath Yadav,41299,49.80%,Samajwadi Party,Alinagar,81,49.80
2005-Feb,2,Ram Kumar Yadav,18632,22.50%,Rashtriya Janata Dal,Alinagar,81,22.50
2005-Feb,3,Baua Lal Mandal,10114,12.20%,Janata Dal (United),Alinagar,81,12.20
2005-Feb,4,Chandravir Kamat,5549,6.70%,Indian National Congress,Alinagar,81,6.70
2005-Feb,5,Lal Deo Kamat,1896,2.30%,Bahujan Samaj Party,Alinagar,81,2.30
2005-Feb,6,Mahesh Dom,1784,2.20%,Independent,Alinagar,81,2.20
2005-Feb,7,Ram Deo Sah,1429,1.70%,Samata Party,Alinagar,81,1.70
2005-Feb,8,Gujeshwar Yadav,803,1.00%,Independent,Alinagar,81,1.00
2005-Feb,9,Darpi Malik,730,0.90%,Independent,Alinagar,81,0.90
2005-Feb,10,Jai Narayan Prasad,713,0.90%,Independent,Alinagar,81,0.90
2005-Feb,1,Anis Ahmad,20165,22.90%,Rashtriya Janata Dal,Darbhanga Rural,82,22.90
2005-Feb,2,Hari Prasad Sah,18923,21.50%,Janata Dal (United),Darbhanga Rural,82,21.50
2005-Feb,3,Deo Narain Mandal,13683,15.50%,Indian National Congress,Darbhanga Rural,82,15.50
2005-Feb,4,Surendra Prasad Yadav,12216,13.90%,Independent,Darbhanga Rural,82,13.90
2005-Feb,5,Ram Pari Devi,6027,6.90%,Communist Party Of India (MARXIST),Darbhanga Rural,82,6.90
2005-Feb,6,Lal Bihari Yadav,4005,4.60%,Independent,Darbhanga Rural,82,4.60
2005-Feb,7,Chittranjan Sah,3096,3.50%,Independent,Darbhanga Rural,82,3.50
2005-Feb,8,Shivnath Saday,2820,3.20%,Independent,Darbhanga Rural,82,3.20
2005-Feb,9,Abdul Hai Pyami,2755,3.10%,Independent,Darbhanga Rural,82,3.10
2005-Feb,10,Kameshwar Narayan Yadav,1777,2.00%,Samajwadi Party,Darbhanga Rural,82,2.00
2005-Feb,11,Manoj Kumar Yadav,1482,1.70%,Bahujan Samaj Party,Darbhanga Rural,82,1.70
2005-Feb,12,Munshi Paswan,1073,1.20%,Independent,Darbhanga Rural,82,1.20
2005-Feb,1,Roop Narayan Jha,23445,28.10%,Independent,Darbhanga,83,28.10
2005-Feb,2,Jagat Narayan Singh,17035,20.40%,Rashtriya Janata Dal,Darbhanga,83,20.40
2005-Feb,3,Mahavir Pd. Mahto,15253,18.30%,Janata Dal (United),Darbhanga,83,18.30
2005-Feb,4,Santosh Kumar Jha,6151,7.40%,Lok Jan Shakti Party,Darbhanga,83,7.40
2005-Feb,5,Asharfi Sadai,4937,5.90%,Bahujan Samaj Party,Darbhanga,83,5.90
2005-Feb,6,Diwakar Prasad Yadav,4857,5.80%,Independent,Darbhanga,83,5.80
2005-Feb,7,Vijay Kumar Jha,3268,3.90%,Independent,Darbhanga,83,3.90
2005-Feb,8,Gulab Yadav,3246,3.90%,Independent,Darbhanga,83,3.90
2005-Feb,9,Shovendra Kumar,1846,2.20%,Samajwadi Party,Darbhanga,83,2.20
2005-Feb,10,Yognath Mandal,1685,2.00%,Independent,Darbhanga,83,2.00
2005-Feb,11,Ram Prasad Yadav,913,1.10%,Krantikari Samyavadi Party,Darbhanga,83,1.10
2005-Feb,12,Ashok Kumar Mandal,885,1.10%,Independent,Darbhanga,83,1.10
2005-Feb,1,Prabhakar Choudhary,32093,38.30%,Janata Dal (United),Hayaghat,84,38.30
2005-Feb,2,Lalit Kumar Yadav,27576,32.90%,Rashtriya Janata Dal,Hayaghat,84,32.90
2005-Feb,3,Md. Razee Alam,6755,8.10%,Independent,Hayaghat,84,8.10
2005-Feb,4,Shamshad Khan,5894,7.00%,Lok Jan Shakti Party,Hayaghat,84,7.00
2005-Feb,5,Saroja Nand Choudhary,2441,2.90%,Independent,Hayaghat,84,2.90
2005-Feb,6,Laxman Mahto,1845,2.20%,Independent,Hayaghat,84,2.20
2005-Feb,7,Upendra Paswan,1425,1.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Hayaghat,84,1.70
2005-Feb,8,Naseem Ajam Siddique,1412,1.70%,Independent,Hayaghat,84,1.70
2005-Feb,9,Raghu Nath Mahto,1325,1.60%,Bahujan Samaj Party,Hayaghat,84,1.60
2005-Feb,10,Raj Kumar Mandal,993,1.20%,Independent,Hayaghat,84,1.20
2005-Feb,11,Nirmala Devi,958,1.10%,Independent,Hayaghat,84,1.10
2005-Feb,12,Ratilal Paswan,580,0.70%,Independent,Hayaghat,84,0.70
2005-Feb,13,Jataria Saday,545,0.70%,Independent,Hayaghat,84,0.70
2005-Feb,1,Abdul Bari Siddiqui,44681,51.30%,Rashtriya Janata Dal,Bahadurpur,85,51.30
2005-Feb,2,Mahendra Jha Azad,25616,29.40%,Bharatiya Janta Party,Bahadurpur,85,29.40
2005-Feb,3,Yugeshwar Sahani,10131,11.60%,Lok Jan Shakti Party,Bahadurpur,85,11.60
2005-Feb,4,Shah Nazmul Hoda,2445,2.80%,Independent,Bahadurpur,85,2.80
2005-Feb,5,Bishwambhar Mishra,1695,1.90%,Independent,Bahadurpur,85,1.90
2005-Feb,6,Shamim Ahmad,1602,1.80%,Bahujan Samaj Party,Bahadurpur,85,1.80
