ElectionYear,Position,Name,Votes,Vot,Party,ACname,ACNo,Voteper
2015,7,Parmeshwar Prasad Sinha,2428,1.50%,Bahujan Samaj Party,Bahadurganj,52,1.50
2015,8,Md Mansoor Alam,2422,1.50%,Nationalist Congress Party,Bahadurganj,52,1.50
2015,9,Hari Mohan Singh,1816,1.10%,Independent,Bahadurganj,52,1.10
2015,10,Suresh Prasad Mandal,1684,1.10%,Independent,Bahadurganj,52,1.10
2015,11,Raj Kumar Sah,1674,1.10%,Independent,Bahadurganj,52,1.10
2015,12,Md. Manjar Hasnain,1387,0.90%,Garib Janta Dal (Secular),Bahadurganj,52,0.90
2015,13,Sakil Akhter,1378,0.90%,Indian Union Muslim League,Bahadurganj,52,0.90
2015,14,Azimuddin,1022,0.60%,Independent,Bahadurganj,52,0.60
2015,15,Hira Nand Mandal,826,0.50%,Rashtriya Jankranti Party,Bahadurganj,52,0.50
2015,16,Md. Nasim Akhtar,610,0.40%,Janta Dal Rashtravadi,Bahadurganj,52,0.40
2015,17,Afsar,493,0.30%,Bahujan Nyay Dal,Bahadurganj,52,0.30
2015,18,Gotam Giri,419,0.30%,Shiv Sena,Bahadurganj,52,0.30
2015,1,Naushad Alam (TATPAUWA),74239,41.20%,Janata Dal (United),Thakurganj,53,41.20
2015,2,Gopal Kumar Agrawal,66152,36.70%,Lok Jan Shakti Party,Thakurganj,53,36.70
2015,3,Faiyaz Alam,12136,6.70%,Samajwadi Party,Thakurganj,53,6.70
2015,4,Ahmad Hussain,11176,6.20%,Jharkhand Mukti Morcha,Thakurganj,53,6.20
2015,5,Chitranjan Singh,3693,2.10%,Independent,Thakurganj,53,2.10
2015,6,Mustak Alam,3137,1.70%,Independent,Thakurganj,53,1.70
2015,7,Punam Devi,1562,0.90%,Jan Adhikar Party (Loktantrik),Thakurganj,53,0.90
2015,8,Md Isamail,1161,0.60%,Janta Dal Rashtravadi,Thakurganj,53,0.60
2015,9,Naushad Alam (TELIBHITTA),1041,0.60%,Indian Union Muslim League,Thakurganj,53,0.60
2015,10,Hemant Roy,998,0.60%,Communist Party Of India (Marxist-Leninist) (Liberation),Thakurganj,53,0.60
2015,11,Pramod Ram,696,0.40%,Loktantrik Janata Party (Secular),Thakurganj,53,0.40
2015,1,Dr Mohammad Jawaid,66522,38.80%,Indian National Congress,Kishanganj,54,38.80
2015,2,Sweety Singh,57913,33.80%,Bharatiya Janta Party,Kishanganj,54,33.80
2015,3,Tasiruddin,16440,9.60%,All India Majlis-E-Ittehadul Muslimoon,Kishanganj,54,9.60
2015,4,Qamrul Hoda,8025,4.70%,Nationalist Congress Party,Kishanganj,54,4.70
2015,5,Trilok Chandra Jain,4915,2.90%,Jharkhand Mukti Morcha,Kishanganj,54,2.90
2015,6,Shyam Nand Gupta,2038,1.20%,Communist Party Of India (MARXIST),Kishanganj,54,1.20
2015,7,Prahlad Kumar Sarkar,1855,1.10%,Independent,Kishanganj,54,1.10
2015,8,Dhyani Paswan,1639,1.00%,Independent,Kishanganj,54,1.00
2015,9,M.K.Rizvi Alias Nanha Mushtaq,1547,0.90%,Jan Adhikar Party (Loktantrik),Kishanganj,54,0.90
2015,10,Ajay Kumar Sah,1322,0.80%,Bahujan Samaj Party,Kishanganj,54,0.80
2015,11,Firoz Ahmad,1306,0.80%,All India Forward Bloc,Kishanganj,54,0.80
2015,12,Shiv Shankar Mahto,1264,0.70%,Independent,Kishanganj,54,0.70
2015,13,Chote Lal Mahto,1145,0.70%,Independent,Kishanganj,54,0.70
2015,14,Yunus Alam,993,0.60%,Independent,Kishanganj,54,0.60
2015,15,Atihar Rahman,935,0.60%,National Target Party,Kishanganj,54,0.60
2015,16,Abid Alam,679,0.40%,Garib Janta Dal (Secular),Kishanganj,54,0.40
2015,17,Rahul Kumar,631,0.40%,Independent,Kishanganj,54,0.40
2015,18,Moinuddin,552,0.30%,Samajwadi Party,Kishanganj,54,0.30
2015,19,Sajjad Hussain Akhter,506,0.30%,Indian Union Muslim League,Kishanganj,54,0.30
2015,1,Mujahid Alam,55929,39.40%,Janata Dal (United),Kochadhaman,55,39.40
2015,2,Akhtarul Iman,37086,26.10%,All India Majlis-E-Ittehadul Muslimoon,Kochadhaman,55,26.10
2015,3,Abdur Rahman,34895,24.60%,Bharatiya Janta Party,Kochadhaman,55,24.60
2015,4,Wasi Asgar,2089,1.50%,Janta Dal Rashtravadi,Kochadhaman,55,1.50
2015,5,Gulrez Roshan Rahman,1348,1.00%,Jan Adhikar Party (Loktantrik),Kochadhaman,55,1.00
2015,6,Surendra Kumar Das,1267,0.90%,Jharkhand Mukti Morcha,Kochadhaman,55,0.90
2015,7,Raj Kumar Rishi,1072,0.80%,Independent,Kochadhaman,55,0.80
2015,8,Babul Alam,970,0.70%,Bahujan Samaj Party,Kochadhaman,55,0.70
2015,9,Ejaz Equbal,960,0.70%,Gareeb Aadmi Party,Kochadhaman,55,0.70
2015,10,Mohammad Musfik Ala,955,0.70%,Loktantrik Janata Party (Secular),Kochadhaman,55,0.70
2015,11,Manowar Alam,920,0.70%,Indian Union Muslim League,Kochadhaman,55,0.70
2015,12,Pradip Kumar Singh,763,0.50%,Shiv Sena,Kochadhaman,55,0.50
2015,1,Abdul Jalil Mastan,100135,59.20%,Indian National Congress,Amour,56,59.20
2015,2,Saba Zafar,48138,28.40%,Bharatiya Janta Party,Amour,56,28.40
2015,3,Anima Das,4393,2.60%,Shiv Sena,Amour,56,2.60
2015,4,Md Nasim Akhter,2458,1.50%,Bahujan Samaj Party,Amour,56,1.50
2015,5,Md Nawazish Alam,1955,1.20%,All India Majlis-E-Ittehadul Muslimoon,Amour,56,1.20
2015,6,Babar Azam,1763,1.00%,Jan Adhikar Party (Loktantrik),Amour,56,1.00
2015,7,Nil Mani Singh,1431,0.90%,Independent,Amour,56,0.90
2015,8,Md Mazharul Bari,1333,0.80%,Independent,Amour,56,0.80
2015,9,Md Shahabuzzama,1152,0.70%,Nationalist Congress Party,Amour,56,0.70
2015,10,Akhalak Alam,1119,0.70%,Gareeb Aadmi Party,Amour,56,0.70
2015,11,Abdul Razzaque Urf Kala Baba,855,0.50%,Independent,Amour,56,0.50
2015,12,Md Mojib,772,0.50%,Bharat Nirman Party,Amour,56,0.50
2015,13,Mohsin,640,0.40%,Garib Janta Dal (Secular),Amour,56,0.40
2015,1,Abdus Subhan,67022,41.60%,Rashtriya Janata Dal,Baisi,57,41.60
2015,2,Binod Kumar,28282,17.50%,Independent,Baisi,57,17.50
2015,3,Syed Ruknuddin Ahmad,21404,13.30%,Jan Adhikar Party (Loktantrik),Baisi,57,13.30
2015,4,Ghulam Sarwar,16723,10.40%,All India Majlis-E-Ittehadul Muslimoon,Baisi,57,10.40
2015,5,Azizur Rahman,9573,5.90%,Rashtriya Lok Samta Party,Baisi,57,5.90
2015,6,Khursheed Alam,3361,2.10%,Independent,Baisi,57,2.10
2015,7,Mukesh Kumar Yadav,2875,1.80%,Samajwadi Party,Baisi,57,1.80
2015,8,Rizwan Ahamad Noori,2559,1.60%,Ittehad-E-Millait Council,Baisi,57,1.60
2015,9,Harun Rasid,1474,0.90%,Bahujan Samaj Party,Baisi,57,0.90
2015,10,Abdul Matlib Hamaraj,1132,0.70%,Nationalist Congress Party,Baisi,57,0.70
2015,11,Parabhat Ranjan Kumar Jyoti,955,0.60%,Garib Janta Dal (Secular),Baisi,57,0.60
2015,12,Braj Kishor Thakur,800,0.50%,All India Forward Bloc,Baisi,57,0.50
2015,1,Md. Afaque Alam,81633,44.70%,Indian National Congress,Kasba,58,44.70
2015,2,Pradip Kumar Das,79839,43.80%,Bharatiya Janta Party,Kasba,58,43.80
2015,3,Sanjay Kumar Mirdha,4777,2.60%,Independent,Kasba,58,2.60
2015,4,Sada Nand Yadav,2777,1.50%,Independent,Kasba,58,1.50
2015,5,Syed Ghulam Hussain,2669,1.50%,Nationalist Congress Party,Kasba,58,1.50
2015,6,Ajeet Kumar Mehta,2318,1.30%,Bahujan Samaj Party,Kasba,58,1.30
2015,7,Deepak Kumar Chauhan,1553,0.90%,Independent,Kasba,58,0.90
2015,8,Shakti Nath Yadav,1425,0.80%,Independent,Kasba,58,0.80
2015,9,Bambam Sah,1122,0.60%,Shiv Sena,Kasba,58,0.60
2015,10,Afjal Khan Alias Mukhtar,546,0.30%,Communist Party Of India (Marxist-Leninist) (Liberation),Kasba,58,0.30
2015,11,Akhilesh Jha,421,0.20%,Independent,Kasba,58,0.20
2015,12,Akhtar Ali,388,0.20%,Maanavvaadi Janta Party,Kasba,58,0.20
2015,13,Md. Shahid,339,0.20%,Sarvajan Kalyan Loktantrik Party,Kasba,58,0.20
2015,14,Md. Kasim,316,0.20%,Indian Union Muslim League,Kasba,58,0.20
2015,15,Parmeshwar Lal Bishwas,297,0.20%,Lok Dal,Kasba,58,0.20
2015,1,Krishna Kumar Rishi,59053,35.80%,Bharatiya Janta Party,Banmankhi,59,35.80
2015,2,Sanjiv Kumar Paswan,58345,35.40%,Rashtriya Janata Dal,Banmankhi,59,35.40
2015,3,Jai Kishor Paswan,7458,4.50%,Independent,Banmankhi,59,4.50
2015,4,Hari Lal Das,5803,3.50%,Jan Adhikar Party (Loktantrik),Banmankhi,59,3.50
2015,5,Umesh Paswan,5672,3.40%,Jharkhand Mukti Morcha,Banmankhi,59,3.40
2015,6,Dev Narayan Rajak,5507,3.30%,Independent,Banmankhi,59,3.30
2015,7,Raj Kumar Raj,3745,2.30%,Communist Party Of India,Banmankhi,59,2.30
2015,8,Ashok Kumar Bharti,3387,2.10%,Independent,Banmankhi,59,2.10
2015,9,Savita Devi,2857,1.70%,The National Road Map Party Of India,Banmankhi,59,1.70
2015,10,Satayanrayan Ram,1933,1.20%,Bahujan Samaj Party,Banmankhi,59,1.20
2015,11,Ramdeo Rishideo,1749,1.10%,Nationalist Congress Party,Banmankhi,59,1.10
2015,12,Shashi Kala Devi,1677,1.00%,Garib Janta Dal (Secular),Banmankhi,59,1.00
2015,13,Satyanarayan Prasad Bharti,1517,0.90%,Maanavvaadi Janta Party,Banmankhi,59,0.90
2015,14,Pirthi Risi,1037,0.60%,Independent,Banmankhi,59,0.60
2015,15,Birndra Rajak,941,0.60%,Sarvajan Kalyan Loktantrik Party,Banmankhi,59,0.60
2015,16,Nepolian Ram,934,0.60%,Rashtriya Jankranti Party,Banmankhi,59,0.60
2015,17,Rajesh Paswan,764,0.50%,Bhartiya Jantantrik Janata Dal,Banmankhi,59,0.50
2015,18,Aravind Paswan,612,0.40%,Bahujan Mukti Party,Banmankhi,59,0.40
2015,1,Bima Bharti,50945,28.10%,Janata Dal (United),Rupauli,60,28.10
2015,2,Prem Prakash Mandal,41273,22.80%,Bharatiya Janta Party,Rupauli,60,22.80
2015,3,Shankar Singh,34793,19.20%,Independent,Rupauli,60,19.20
2015,4,Savan Kumar,10426,5.80%,Communist Party Of India,Rupauli,60,5.80
2015,5,Parmanand Singh,8497,4.70%,Independent,Rupauli,60,4.70
2015,6,Vasdev Sharma,4567,2.50%,Independent,Rupauli,60,2.50
2015,7,Kiran Devi,3639,2.00%,Jan Adhikar Party (Loktantrik),Rupauli,60,2.00
2015,8,Dipak Kumar Sharma,3522,1.90%,Independent,Rupauli,60,1.90
2015,9,Ketan Kumar Singh,2757,1.50%,Bahujan Samaj Party,Rupauli,60,1.50
2015,10,Kumar Manoranjan,2746,1.50%,Independent,Rupauli,60,1.50
2015,11,Bindeshwari Sharma,2587,1.40%,Communist Party Of India (Marxist-Leninist) (Liberation),Rupauli,60,1.40
2015,12,Sanjeev Jaiswal,2402,1.30%,Independent,Rupauli,60,1.30
2015,13,Surya Narayan Singh Yadav,2043,1.10%,Independent,Rupauli,60,1.10
2015,14,Sund Kant Bhagat,1906,1.10%,Independent,Rupauli,60,1.10
2015,15,Manoj Kr. Roy,1531,0.90%,Rashtriya Jankranti Party,Rupauli,60,0.90
2015,16,Birbal Kumar Yadav,1194,0.70%,Mithilanchal Vikas Morcha,Rupauli,60,0.70
2015,17,Roshan Kumar Ravi,1159,0.60%,Sarvajan Kalyan Loktantrik Party,Rupauli,60,0.60
2015,18,Udali Devi,1087,0.60%,Independent,Rupauli,60,0.60
2015,19,Ashok Kumar Jaiswal,921,0.50%,Independent,Rupauli,60,0.50
2015,20,Nityanand Gupta,858,0.50%,Aap Aur Hum Party,Rupauli,60,0.50
2015,1,Leshi Singh,75400,40.00%,Janata Dal (United),Dhamdaha,61,40.00
2015,2,Shiv Shankar Thakur Allias Shankar Azad,45583,24.20%,Rashtriya Lok Samta Party,Dhamdaha,61,24.20
2015,3,Dilip Kumar Yadav,12664,6.70%,Jan Adhikar Party (Loktantrik),Dhamdaha,61,6.70
2015,4,Mithlesh Kumar Singh,4972,2.60%,Communist Party Of India (MARXIST),Dhamdaha,61,2.60
2015,5,Jyoti Rani,4135,2.20%,Independent,Dhamdaha,61,2.20
2015,6,Pappu Kumar Ranjan,3915,2.10%,Independent,Dhamdaha,61,2.10
2015,7,Yogendra Kumar,3775,2.00%,Independent,Dhamdaha,61,2.00
2015,8,Tahammul Mansuri,3650,1.90%,Jharkhand Mukti Morcha,Dhamdaha,61,1.90
2015,9,Bimal Roy,3373,1.80%,Shiv Sena,Dhamdaha,61,1.80
2015,10,Pankaj Kumar Singh,2737,1.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Dhamdaha,61,1.50
2015,11,Chand Dev Paswan,2544,1.40%,Independent,Dhamdaha,61,1.40
2015,12,Sudama Kumar,2242,1.20%,Sarvajan Kalyan Loktantrik Party,Dhamdaha,61,1.20
2015,13,Tarun Kumar Singh,2109,1.10%,Bahujan Samaj Party,Dhamdaha,61,1.10
2015,14,Niranjan Kumar Singh,2086,1.10%,Independent,Dhamdaha,61,1.10
2015,15,Sunil Ray,1764,0.90%,Rashtriya Jankranti Party,Dhamdaha,61,0.90
2015,16,Nawalesh Pathak,1551,0.80%,Independent,Dhamdaha,61,0.80
2015,17,Lokesh Kumar,1349,0.70%,Independent,Dhamdaha,61,0.70
2015,18,Md Aftab Alam,1230,0.70%,Janta Dal Rashtravadi,Dhamdaha,61,0.70
2015,19,Sanjay Ram,1217,0.70%,Independent,Dhamdaha,61,0.70
2015,20,Yogendra Singh,1211,0.60%,Independent,Dhamdaha,61,0.60
2015,21,Sunil Kumar Singh,1109,0.60%,Independent,Dhamdaha,61,0.60
2015,22,Shrawan Kumar Yadav,1034,0.60%,Mithilanchal Vikas Morcha,Dhamdaha,61,0.60
2015,23,Vindeshwari Sharma,982,0.50%,Independent,Dhamdaha,61,0.50
2015,24,Charitra Rishi,937,0.50%,Independent,Dhamdaha,61,0.50
2015,25,Jyotish Kumar,888,0.50%,Lok Dal,Dhamdaha,61,0.50
2015,1,Vijay Kumar Khemka,92020,49.30%,Bharatiya Janta Party,Purnia,62,49.30
2015,2,Indu Sinha,59205,31.70%,Indian National Congress,Purnia,62,31.70
2015,3,Ram Charitra Yadav,7614,4.10%,Independent,Purnia,62,4.10
2015,4,Rajeev Kumar Singh,3993,2.10%,Communist Party Of India (MARXIST),Purnia,62,2.10
2015,5,Arvind Kumar@ Bhola Sah,2670,1.40%,Jan Adhikar Party (Loktantrik),Purnia,62,1.40
2015,6,Ashok Kumar Singh,1697,0.90%,Independent,Purnia,62,0.90
2015,7,Divakar Choudhary,1539,0.80%,Nationalist Congress Party,Purnia,62,0.80
2015,8,Rajesh Kumar Nirala,1488,0.80%,Independent,Purnia,62,0.80
2015,9,Ahmad Hussain,1480,0.80%,Independent,Purnia,62,0.80
2015,10,Rakesh Kumar Singh,1415,0.80%,Independent,Purnia,62,0.80
2015,11,Masiur Rahman,1388,0.70%,Jharkhand Mukti Morcha,Purnia,62,0.70
2015,12,Lt. Col. Akshay Yadav,1321,0.70%,Samajwadi Party,Purnia,62,0.70
2015,13,Sumitra Devi Mandal,1257,0.70%,Rashtravadi Janata Party,Purnia,62,0.70
2015,14,Aditya Kumar Jha,1089,0.60%,Independent,Purnia,62,0.60
2015,15,Ashok Kumar Mahto,996,0.50%,Bahujan Samaj Party,Purnia,62,0.50
2015,16,Mohammad Aslam Azad,873,0.50%,Independent,Purnia,62,0.50
2015,17,Deepak Kumar,841,0.50%,Independent,Purnia,62,0.50
2015,18,Akhilesh Verma,744,0.40%,Sarvajan Kalyan Loktantrik Party,Purnia,62,0.40
2015,19,Rashi Prasad,738,0.40%,Proutist Bloc India,Purnia,62,0.40
2015,20,Bindu Prakash Jha,725,0.40%,Ittehad-E-Millait Council,Purnia,62,0.40
2015,21,Ranjeet Kumar Singh,708,0.40%,Indian Union Muslim League,Purnia,62,0.40
2015,22,Rakesh Kumar,679,0.40%,Independent,Purnia,62,0.40
2015,23,Bachchi Sharma,409,0.20%,Dalit Samaj Party,Purnia,62,0.20
2015,24,Manik Chand Yadav,406,0.20%,Independent,Purnia,62,0.20
2015,25,Kashor Kumar Yadav,382,0.20%,All India Forward Bloc (Subhasist),Purnia,62,0.20
2015,1,Tarkishore Prasad,66048,43.00%,Bharatiya Janta Party,Katihar,63,43.00
2015,2,Bijay Singh,51154,33.30%,Janata Dal (United),Katihar,63,33.30
2015,3,Dr. Ram Prakash Mahto,18856,12.30%,Nationalist Congress Party,Katihar,63,12.30
2015,4,Jaynandan Paswan,1801,1.20%,Independent,Katihar,63,1.20
2015,5,Samrendra Kunal,1777,1.20%,Independent,Katihar,63,1.20
2015,6,Ashok Kumar Bhagat,1274,0.80%,Independent,Katihar,63,0.80
2015,7,Asghar Ali,1247,0.80%,Communist Party Of India (Marxist-Leninist) (Liberation),Katihar,63,0.80
2015,8,Ram Lakhan Sah,1069,0.70%,Independent,Katihar,63,0.70
2015,9,Nasim,1062,0.70%,Social Democratic Party Of India,Katihar,63,0.70
2015,10,Janardan Singh,998,0.70%,Independent,Katihar,63,0.70
2015,11,Binod Singh,951,0.60%,Independent,Katihar,63,0.60
2015,12,Arvind Khwab,842,0.60%,Bahujan Samaj Party,Katihar,63,0.60
2015,13,Amarendra Kumar Singh,824,0.50%,Independent,Katihar,63,0.50
2015,14,Zahoor Alam,799,0.50%,Independent,Katihar,63,0.50
2015,15,Pankaj Jha,757,0.50%,Independent,Katihar,63,0.50
2015,16,Kanhai Mandal,748,0.50%,Independent,Katihar,63,0.50
2015,17,Ashish Kumar'' Balidani'',597,0.40%,Janta Dal Rashtravadi,Katihar,63,0.40
2015,18,Shailesh Kumar Singh,404,0.30%,Indian Union Muslim League,Katihar,63,0.30
2015,19,Samir Kumar Jha,402,0.30%,Independent,Katihar,63,0.30
2015,20,Manoj Kumar Sah,326,0.20%,Bahujan Mukti Party,Katihar,63,0.20
2015,21,Md Rustam,315,0.20%,Aap Aur Hum Party,Katihar,63,0.20
2015,22,Shivesh Kumar,277,0.20%,Rashtra Sewa Dal,Katihar,63,0.20
2015,1,Shakeel Ahmad Khan,56141,35.50%,Indian National Congress,Kadwa,64,35.50
2015,2,Chander Bhushan Thakur,50342,31.80%,Bharatiya Janta Party,Kadwa,64,31.80
2015,3,Himraj Singh,23665,14.90%,Nationalist Congress Party,Kadwa,64,14.90
2015,4,Ashok Kumar Mehta,8670,5.50%,Independent,Kadwa,64,5.50
2015,5,Firoz Alam,2672,1.70%,Independent,Kadwa,64,1.70
2015,6,Dinesh Insan,2439,1.50%,Sarvajan Kalyan Loktantrik Party,Kadwa,64,1.50
2015,7,Ram Prasad Mahli,2056,1.30%,Independent,Kadwa,64,1.30
2015,8,Ashish Kumar Singh,1700,1.10%,Independent,Kadwa,64,1.10
2015,9,Vidhanand Mandal,1369,0.90%,Bahujan Samaj Party,Kadwa,64,0.90
2015,10,Md Shahid Hussain,1171,0.70%,Jan Adhikar Party (Loktantrik),Kadwa,64,0.70
2015,11,Tensar Roy,1096,0.70%,Independent,Kadwa,64,0.70
2015,12,Md Meraj Alam,993,0.60%,Ittehad-E-Millait Council,Kadwa,64,0.60
2015,13,Anwar Alam,989,0.60%,Independent,Kadwa,64,0.60
2015,14,Ram Vilas Roy,953,0.60%,Kisan Shakti Jantantrik Party,Kadwa,64,0.60
2015,15,Manoranjan Prasad Das,703,0.40%,Shiv Sena,Kadwa,64,0.40
2015,16,Shankar Ray,580,0.40%,Independent,Kadwa,64,0.40
2015,17,Murli Kumar Mandal,502,0.30%,Bahujan Mukti Party,Kadwa,64,0.30
2015,18,Madan Lal Ray,395,0.30%,Jharkhand Mukti Morcha,Kadwa,64,0.30
2015,1,Mahboob Alam,62513,31.70%,Communist Party Of India (Marxist-Leninist) (Liberation),Balrampur,65,31.70
2015,2,Barun Kumar Jha,42094,21.30%,Bharatiya Janta Party,Balrampur,65,21.30
2015,3,Dulal Chandra Goswami,40114,20.30%,Janata Dal (United),Balrampur,65,20.30
2015,4,Niranjan Das,14033,7.10%,Independent,Balrampur,65,7.10
2015,5,Hansraj Yadav,9473,4.80%,Shiv Sena,Balrampur,65,4.80
2015,6,Md. Adil Hasan,6375,3.20%,All India Majlis-E-Ittehadul Muslimoon,Balrampur,65,3.20
2015,7,Habibur Rahman,3884,2.00%,Nationalist Congress Party,Balrampur,65,2.00
2015,8,Azad Khan,3463,1.80%,Independent,Balrampur,65,1.80
2015,9,Md Mushtaque Alam,2897,1.50%,Janta Dal Rashtravadi,Balrampur,65,1.50
2015,10,Md. Ansar,1688,0.90%,Bahujan Samaj Party,Balrampur,65,0.90
2015,11,Md Saqulain Ahmed,1359,0.70%,Independent,Balrampur,65,0.70
2015,12,Shorab Ali,1326,0.70%,Ittehad-E-Millait Council,Balrampur,65,0.70
2015,13,Md Shakil,1265,0.60%,Garib Janta Dal (Secular),Balrampur,65,0.60
2015,14,Shyam Rishi,1184,0.60%,Indian Union Muslim League,Balrampur,65,0.60
2015,15,Md Noor Alam,1145,0.60%,Bharatiya Momin Front,Balrampur,65,0.60
2015,16,Md Shahid,843,0.40%,Vanchitsamaj Insaaf Party,Balrampur,65,0.40
2015,17,Gopal Ravidas,685,0.40%,Bahujan Mukti Party,Balrampur,65,0.40
2015,1,Binod Kumar Singh,47924,26.70%,Bharatiya Janta Party,Pranpur,66,26.70
2015,2,Israt Parween,39823,22.20%,Nationalist Congress Party,Pranpur,66,22.20
2015,3,Tauquir Alam,39653,22.10%,Indian National Congress,Pranpur,66,22.10
2015,4,Sudarshan Chandra Paul,22373,12.50%,Independent,Pranpur,66,12.50
2015,5,Mahendra Narayan Yadav,3164,1.80%,Independent,Pranpur,66,1.80
2015,6,Azam,2858,1.60%,Independent,Pranpur,66,1.60
2015,7,Md Salauddin,2197,1.20%,Independent,Pranpur,66,1.20
2015,8,Sarkar Marandi,1916,1.10%,Jharkhand Disom Party,Pranpur,66,1.10
2015,9,Shaiyad Alam,1850,1.00%,Jan Adhikar Party (Loktantrik),Pranpur,66,1.00
2015,10,Harishankar Prasad,1604,0.90%,Independent,Pranpur,66,0.90
2015,11,Md Meraj,1598,0.90%,Garib Janta Dal (Secular),Pranpur,66,0.90
2015,12,Abdus Salam,1503,0.80%,Bahujan Samaj Party,Pranpur,66,0.80
2015,13,Shahida Qureshi,1445,0.80%,Ittehad-E-Millait Council,Pranpur,66,0.80
2015,14,Israil,1345,0.80%,Shoshit Samaj Dal,Pranpur,66,0.80
2015,15,Jawed Rahi,1169,0.70%,Independent,Pranpur,66,0.70
2015,16,Kali Charan Das,1166,0.70%,Janta Dal Rashtravadi,Pranpur,66,0.70
2015,17,Suresh Ray,1110,0.60%,Rashtravadi Janata Party,Pranpur,66,0.60
2015,18,Ganga Kewat,1050,0.60%,Sarvajan Kalyan Loktantrik Party,Pranpur,66,0.60
2015,19,Jyotish Chandra Karmakar,985,0.60%,Independent,Pranpur,66,0.60
2015,20,Pradip Kumar Ray,873,0.50%,Communist Party Of India (Marxist-Leninist) (Liberation),Pranpur,66,0.50
2015,21,Shambhu Bubna,838,0.50%,Independent,Pranpur,66,0.50
2015,22,Chandra Mohan Mandal,765,0.40%,Bharat Nirman Party,Pranpur,66,0.40
2015,23,Lakhan Yadav,748,0.40%,Bahujan Kranti Party (Marxwad-Ambedkarwad),Pranpur,66,0.40
2015,1,Manohar Prasad Singh,61704,38.70%,Indian National Congress,Manihari,67,38.70
2015,2,Anil Kumar Oraon,48024,30.10%,Lok Jan Shakti Party,Manihari,67,30.10
2015,3,Gita Kisku,7009,4.40%,Nationalist Congress Party,Manihari,67,4.40
2015,4,Nagendra Chandra Mandal,6134,3.90%,Shiv Sena,Manihari,67,3.90
2015,5,Shambhu Kumar Suman,6123,3.80%,Independent,Manihari,67,3.80
2015,6,Champay Kisku,5723,3.60%,Independent,Manihari,67,3.60
2015,7,Anirudh Prasad Singh,5129,3.20%,Communist Party Of India,Manihari,67,3.20
2015,8,Braj Lal Soren,2976,1.90%,Independent,Manihari,67,1.90
2015,9,Lila Madi,1972,1.20%,Jan Adhikar Party (Loktantrik),Manihari,67,1.20
2015,10,Abhilashita Uraon,1881,1.20%,Bahujan Samaj Party,Manihari,67,1.20
2015,11,Nirma Devi,1873,1.20%,Independent,Manihari,67,1.20
2015,12,Prabhulal Uraon,1817,1.10%,Social Democratic Party Of India,Manihari,67,1.10
2015,13,Fulmani Hembram,1779,1.10%,Jharkhand Mukti Morcha,Manihari,67,1.10
2015,14,Sinkendra Mandal,1423,0.90%,Independent,Manihari,67,0.90
2015,15,Chhote Lal Chourae,1401,0.90%,Rashtra Sewa Dal,Manihari,67,0.90
2015,16,Shiv Kumar Sah,1327,0.80%,Independent,Manihari,67,0.80
2015,17,Dilip Kumar Mandal,980,0.60%,Independent,Manihari,67,0.60
2015,18,Tallu Hembram,957,0.60%,Bahujan Mukti Party,Manihari,67,0.60
2015,1,Neeraj Kumar,71175,43.10%,Rashtriya Janata Dal,Barari,68,43.10
2015,2,Bibhash Chandra Choudhary,56839,34.50%,Bharatiya Janta Party,Barari,68,34.50
2015,3,Muhammad Shakur,11002,6.70%,Nationalist Congress Party,Barari,68,6.70
2015,4,Kailash Sahani,8484,5.10%,Independent,Barari,68,5.10
2015,5,Muhammad Israil,3597,2.20%,Independent,Barari,68,2.20
2015,6,Dinesh Prasad Yadav,2406,1.50%,Communist Party Of India,Barari,68,1.50
2015,7,Yugal Kishor Sah,2078,1.30%,Independent,Barari,68,1.30
2015,8,Subhash Singh,1419,0.90%,Janta Dal Rashtravadi,Barari,68,0.90
2015,9,Prem Nath Jaiswal,1371,0.80%,Independent,Barari,68,0.80
2015,10,Gokul Yadav,1020,0.60%,Independent,Barari,68,0.60
2015,11,Arun Kumar,810,0.50%,Mithilanchal Vikas Morcha,Barari,68,0.50
2015,12,Lakshmi Kant Mandal,794,0.50%,Bahujan Samaj Party,Barari,68,0.50
2015,13,Pradip K. Yadav,606,0.40%,Garib Janta Dal (Secular),Barari,68,0.40
2015,14,Ramchandra Singh Nishad,550,0.30%,Bahujan Mukti Party,Barari,68,0.30
2015,15,Jahangir,503,0.30%,Indian Union Muslim League,Barari,68,0.30
2015,1,Punam Kumari Alias Punam Paswan,78409,45.50%,Indian National Congress,Korha,69,45.50
2015,2,Mahesh Paswan,72983,42.40%,Bharatiya Janta Party,Korha,69,42.40
2015,3,Jay Prakash Rishi,3719,2.20%,Communist Party Of India (MARXIST),Korha,69,2.20
2015,4,Lalit Kumar,3199,1.90%,Independent,Korha,69,1.90
2015,5,Sunita Devi,2097,1.20%,Nationalist Congress Party,Korha,69,1.20
2015,6,Ravindra Kumar,1621,0.90%,Bahujan Samaj Party,Korha,69,0.90
2015,7,Rasho Rishi,1428,0.80%,Independent,Korha,69,0.80
2015,8,Vakil Das,1373,0.80%,Jan Adhikar Party (Loktantrik),Korha,69,0.80
2015,9,Anil Kr Paswan,945,0.60%,Independent,Korha,69,0.60
2015,10,Ram Raj Ram,873,0.50%,Independent,Korha,69,0.50
